company_name,industries,title,salary_range,posted_date,job_functions
Amazon Web Services (AWS),,"Senior Software Development Engineer, AWS Robotics","$123,000.00/yr - $188,000.00/yr",2022-08-15,
Sallie Mae,,Tax Analyst,"$46,000.00/yr - $77,000.00/yr",2022-08-18,
Amazon,,Sr Product Marketing Manager,"$117,000.00/yr - $152,000.00/yr",2022-08-29,
Mercy,,"Radiologic Technologist- PRN, Days","$40,000.00/yr - $63,000.00/yr",,
Trillium Staffing Solutions,"",Skilled Laborer,"$42,000.00/yr - $59,000.00/yr",,
Apple,"Insurance,",Display Electrical Engineer,"$92,000.00/yr - $216,000.00/yr",2022-08-20,"Law Enforcement,"
PURE Insurance,,Underwriter- Pacific Northwest,"$47,000.00/yr - $87,000.00/yr",,"Law Enforcement,"
Lahey Hospital & Medical Center,,Patient Financial Navigator,"$48,000.00/yr - $82,000.00/yr",2022-01-13,
F Street Group,,Loan Originator,"$50,000.00/yr - $75,000.00/yr",2022-03-29,
World Wide Technology,,ML & AI Architect,"$112,000.00/yr - $177,000.00/yr",2022-08-14,""
Aquent,,Recruitment Consultant,A$80.00/yr - A$90.00/yr,2022-08-08,
Amazon,,"Sr. Technical Program Manager, Amazon Shopping Videos","$135,000.00/yr - $203,000.00/yr",2022-08-16,
BI & DW Australia,,Senior Microsoft Power BI Consultants,"A$110,000.00/yr - A$140,000.00/yr",2022-08-19,"Public Safety,Public Policy,"
Warner Bros. Games San Francisco,"Information Technology and Services,",Staff Software Engineer,"$113,000.00/yr - $181,000.00/yr",2022-08-18,"Law Enforcement,"
Banner Health,,Patient Care Assistant PCA Banner Desert,$11.90/hr - $19.80/hr,,
Citi,"Staffing and Recruiting,","Business & Financial Analyst, Chief of Staff, Global Functions Technology - Tampa - C13 VP - R21015636","$60,000.00/yr - $102,000.00/yr",2022-08-10,"Law Enforcement,"
"True North Consulting, LLC(Kansas City)","",NETA Field Service Technician/Engineer-Electrical Testing,"$64,000.00/yr - $90,000.00/yr",2022-03-25,"Law Enforcement,"
"True North Consulting, LLC(Kansas City)","",NETA Field Service Technician/Engineer-Electrical Testing,"$63,000.00/yr - $91,000.00/yr",2022-02-28,"Law Enforcement,"
Dallas Independent School District,,ESL Teacher (Grade: K-4) Intersession Calendar,"$50,000.00/yr - $71,000.00/yr",,
Amazon,,"Business Analyst, Prime Shopping Benefit","$64,000.00/yr - $100,000.00/yr",2022-08-14,
The Home Depot,"",Store Support,"$35,000.00/yr - $60,000.00/yr",2021-12-26,"Public Safety,Public Policy,"
Amazon,,"Software Engineer, Alexa","$99,000.00/yr - $152,000.00/yr",2022-08-14,
PwC,"Education Management,",Asset & Wealth Management Tax Manager,"$75,000.00/yr - $103,000.00/yr",2022-07-23,"Law Enforcement,"
"Hauser Investments, Inc.",,"CDL A Team Company Driver, OTR, Dry Van","$69,000.00/yr - $117,000.00/yr",2021-10-29,
CentiMark Corporation,,Service Sales Representative,"$55,000.00/yr - $75,000.00/yr",2022-04-19,
Edelman,"","Senior Account Executive, Lifestyle","$58,000.00/yr - $82,000.00/yr",2022-08-18,""
Amazon Web Services (AWS),,"Senior Software Development Engineer, AWS Tagging","$160,000.00/yr - $160,000.00/yr",,
Los Alamos National Laboratory,,Postdoc focused on finite element methods-based simulations of metallic structures,"$75,000.00/yr - $85,000.00/yr",2022-04-08,
The Home Depot,"",Store Support,"$35,000.00/yr - $55,000.00/yr",,"Public Safety,Public Policy,"
Boston Ale House Group,,Sous Chef,"$65,000.00/yr - $75,000.00/yr",2022-05-03,
Codeworks IT Careers,,Software Developer in Test,"$69,000.00/yr - $109,000.00/yr",2021-11-22,"Law Enforcement,"
Citi,"Staffing and Recruiting,",Vice President Quantitative Analyst,"$78,000.00/yr - $164,000.00/yr",2022-08-10,
Target,,Technology Leadership Program (TLP) - Software Engineer,"$74,000.00/yr - $88,000.00/yr",2022-07-19,"Public Safety,Public Policy,"
CommPeak,,Technical Support Engineer,"PHP25,000.00/mo - PHP30,000.00/mo",,"Public Safety,Public Policy,"
"Power Design, Inc.",,Lead Shipping Associate,"$39,000.00/yr - $54,000.00/yr",2022-08-07,
Everise,"Construction,Electrical/Electronic Manufacturing,",Real Time Analyst,"PHP25,000.00/mo - PHP30,000.00/mo",,"Public Safety,Public Policy,"
Paradies Lagardère,,Jersey Mike's Crew Member,"$36,000.00/yr - $56,000.00/yr",2022-08-31,
Paradies Lagardère,,Warehouse Associate,"$33,000.00/yr - $48,000.00/yr",2022-08-31,
Save A Lot Grocery,,Assistant Store Manager,"$35,000.00/yr - $57,000.00/yr",,"Public Safety,Public Policy,"
UMATR,"Information Technology and Services,","Software Engineer, Full Stack (Ruby on Rails, React)","$130,000.00/yr - $160,000.00/yr",,
The Johns Hopkins University,,CO Psychometrist,"$39,000.00/yr - $66,000.00/yr",,
The Home Depot,"",Store Support,"$36,000.00/yr - $58,000.00/yr",,"Public Safety,Public Policy,"
The Chefs' Warehouse,,Distribution - Delivery Driver Non CDL - Dracut MA,"$40,000.00/yr - $62,000.00/yr",2022-05-20,
The Home Depot,"",Store Support,"$33,000.00/yr - $58,000.00/yr",,"Public Safety,Public Policy,"
Collabera Inc.,"Information Technology and Services,",Site Reliability Engineer,"$145,000.00/yr - $210,000.00/yr",2022-07-22,"Law Enforcement,"
CHI,"Computer Software,Information Technology and Services,",Maintenance Technician II,"$40,000.00/yr - $66,000.00/yr",2022-02-08,
R&R Solutions,,"Class A Company Driver, OTR, Dry Van","$34,000.00/yr - $58,000.00/yr",2021-10-29,
OSI Consulting,,Network Engineer,"$75,000.00/yr - $116,000.00/yr",,"Public Safety,Public Policy,"
