id,name,group,created_at,updated_at,alt_names,company_count
3,Computer Hardware,tech,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Computer Hardware""}",44705
17,Medical Devices,hlth,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Medical Devices"",""Medical Device"",""Medical Equipment""}",158317
19,Apparel & Fashion,good,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Apparel & Fashion"",""Apparel and Fashion""}",277123
20,Sporting Goods,"good, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Sporting Goods""}",52359
21,Tobacco,good,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Tobacco},14351
22,Supermarkets,good,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Supermarkets},92977
24,Consumer Electronics,"good, man",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Consumer Electronics"",""Computers and Electronics""}",94403
114,Nanotechnology,"gov, man, tech",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,{Nanotechnology},8176
143,Luxury Goods & Jewelry,good,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Luxury Goods & Jewelry"",""Luxury Goods and Jewelry""}",76568
145,"Glass, Ceramics & Concrete","cons, man",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Glass, Ceramics & Concrete"",""Glass, Ceramics and Concrete""}",39581
116,Logistics and Supply Chain,"corp, tran",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Logistics and Supply Chain"",""Logistics & Supply Chain"",""Transportation, Logistics and Storage""}",152166
29,Gambling & Casinos,rec,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Gambling & Casinos"",""Gambling Facilities and Casinos""}",15844
88,Individual & Family Services,"org, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Individual & Family Services"",""Individual and Family Services""}",587180
1678,Savings Institutions,null,2022-02-18T22:45:37.550621,2022-02-18T22:45:37.550621,"{""Savings Institutions""}",0
49,Building Materials,cons,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Building Materials""}",178291
679,Oil and Coal Product Manufacturing,null,2022-02-17T18:34:55.203551,2022-02-17T18:34:55.203551,"{""Oil and Coal Product Manufacturing""}",1
625,Women's Handbag Manufacturing,null,2022-02-17T12:28:20.536027,2022-02-17T12:28:20.536027,"{""Women's Handbag Manufacturing""}",11
33,Sports,rec,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Sports,""Spectator Sports""}",366574
41,Banking,fin,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Banking},120798
