id,job_id,job_slug,created_at,updated_at,posted_date,posted_time,posted_timestamp,posted_tsrange,title_id,title,linkedin_company_id,company_name,company_universal_name,location_geo_id,location,address_country,address_locality,address_region,postal_code,street_address,latitude,longitude,applicants,applicant_range_id,description,linkedin_seniority_level_id,linkedin_employment_type_id,job_functions,industries,salary_range,salary_currency_id,salary_min,salary_max,salary_unit,required_months_of_experience,academic_qualification,recruiter_profile_id,recruiter_slug_id,apply_external_url,external_job_id,valid_until,benefit_ids,closed_since
523497191,3218651145,%E9%85%8D%E6%96%B9%E4%B8%BB%E7%AE%A1%EF%BC%88%E5%A5%B6%E7%89%9B%E9%A5%B2%E6%96%99%EF%BC%89-at-%E4%B8%AD%E5%9B%BD%E8%BE%89%E5%B1%B1%E4%B9%B3%E4%B8%9A%E6%8E%A7%E8%82%A1%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-3218651145,2022-08-12T12:15:53.420084,2022-08-20T10:28:41.774636,,06:54:57,,"[""2022-08-12 05:15:49.475047"",""2022-08-12 08:15:49.475047"")",273246816,配方主管（奶牛饲料）,3996963,China Huishan Dairy Holdings Company Limited,china-huishan-dairy-holdings-company-limited,90009562,Guangzhou-Foshan Metropolitan Area,,,,,,,,0,A,职位来源于智联招聘。<br/><br/>岗位职责：<br/><br/>1、根据饲料法律法规、行业标准及饲养规划，合理设计奶牛饲料配方；<br/><br/>2、结合采购实际情况，适时规划及调整产品配方，保证饲料产品营养及使用效果；<br/><br/>3、根据饲料产品标准，为生产制定工艺参数并提供合理化建议，保证饲料产品使用效果及稳定性；<br/><br/>4、制定营配方方案，根据奶牛营养需求，进行配方研发与升级；<br/><br/>5、开展饲料配方研发试验项目，提高并优化产奶量，降低公斤奶成本，提高奶牛养殖效益；<br/><br/>6、不断优化饲料配方，实现产业链价值最大化相关的营养研发；<br/><br/>任职要求：<br/><br/>1、动物营养相关专业毕业，统招硕士及以上学历，一流院校优先考虑；<br/><br/>2、具有良好的逻辑思维能力、沟通能力、学习能力和创新精神，可以熟练使用办公软件；<br/><br/>3、具备扎实的专业知识，能熟练进行文献检索，以及英文文献阅读、翻译和写作的能力；<br/><br/>4、具有良好的团队协作意识，责任心强；<br/><br/>5、具备一定饲料行业技术研发工作经验者优先；<br/><br/>以担保或任何理由索要财物，扣押证照，均涉嫌违法。,21,1,{80},{25},,,,,,,,,,https://m.zhaopin.com/in-landing?jobid=CC298434910J40315871602,,,,2022-08-16T12:00:45.588365
523360009,3218533964,%E7%94%9C%E5%93%81%E5%BA%97%E5%BA%97%E5%91%98-at-%E5%B1%B1%E8%A5%BF%E5%AE%87%E8%AE%B0%E8%8C%B6%E9%A5%AE%E8%BF%9E%E9%94%81%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-3218533964,2022-08-12T10:32:12.763218,2022-08-20T10:28:42.080842,,05:49:49,,"[""2022-08-12 04:32:10.207569"",""2022-08-12 07:32:10.207569"")",31666166,甜品店店员,,山西宇记茶饮连锁有限公司,,90009562,Guangzhou-Foshan Metropolitan Area,,,,,,,,0,A,职位来源于智联招聘。<br/><ul><li> 上海地区甜品店岗位，因各区都有门]店，需要与招聘专员详细沟通所需门店地址，谢谢<br/></li></ul>岗位职责:<br/><br/>1、制作和提供品质如一的饮料、咖啡和食品;<br/><br/>2、与顾客和工作伙伴保持良好的沟通，为所有顾客提供优质的服务;3、每天执行清洁工作，保持干净和舒适的门]店环境和工作环境;<br/><br/>4、负责收银工作和参与现金管理;<br/><br/>任职要求:<br/><br/>1、男女不限，高中及以上学历(不是硬性要求，不限制但沟通顺畅)，年满18周岁-40岁，专业不限，有蛋糕、面包、咖啡、餐饮等店面工作经验优先考虑;<br/><br/>2、良好的沟通能力及团队合作能力;<br/><br/>3、仪容仪表干净整洁;<br/><br/>4、能接受倒班<br/><ul><li>不要暑假工<br/></li></ul>因各区都有门店，需要与招聘专员详细沟通所需门店地址，谢谢<br/><br/>以担保或任何理由索要财物，扣押证照，均涉嫌违法。,21,1,"{79,78}",{32},,,,,,,,,,https://m.zhaopin.com/in-landing?jobid=CCL1360717590J40312192613,,,,2022-08-20T06:58:48.659273
528873745,3223663360,compounder-at-actalent-3223663360,2022-08-16T08:40:21.781741,2022-08-20T10:28:43.402708,,,,"[""2022-08-16 02:40:20.394303"",""2022-08-16 05:40:20.394303"")",83508,Compounder,71904349,Actalent,actalentservices,,"Flemington, NJ",,,,,,,,0,A,"<ul><li>A unique opportunity to work with a growing chemical manufacturing company and utilize your skills to be a part of a talented team.*</li><li>Job Description:*</li><li>Understand the basic chemistry involved in the processes in order to effectively monitor and trouble shoot</li><li>Operators are expected to continually upgrade their skills until they fully understand the entire plant process flow in addition to the basic chemistry of all of the plant processes</li><li>Monitors process, performs required measurement and tests, monitor the operation of equipment and sets equipment controls in order to effectively produce quality products</li><li>Maintains production line operation by following SOP’s solving production process problems, making equipment adjustments, reporting production and quality data, reporting decisions made, and referring questions to other team members or team leader</li><li>Skills &amp; Qualifications:*</li><li>Min HS Graduate</li><li>1-5 years of experience w/ batching, compounding, and pre-weigh procedures</li><li>Knowledge and understanding of following SOPs</li><li>Ability to lift 50 pounds to shoulder height - Forklift experience</li><li>Why Work Here?*</li><li>Rotating shift allows for more time off (3 or 4 days consecutively)</li><li>Allows for candidates every two weeks to work 48 hours, accumulating 8 OT hours which pays 1.5x their hourly rate</li><li>Luxfer is listed on the New York Stock Exchange with annual revenues of $USD 500m employing 1,800 people</li><li>Give complete satisfaction that the organization can produce safe and reliable products and services that continually meet or exceed our customers’ expectations.</li><li>Location: Flemington, NJ*</li><li>APPLY NOW!*<br/><br/></li></ul>About Actalent:<br/><br/>Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",3,1,"{79,78}",{96},,,,,,,,,,https://jsv3.recruitics.com/redirect?rx_cid=3374&rx_jobId=JP-003077034&rx_url=https%3A%2F%2Fars2.equest.com%2F%3Ficid%3Dlinkedin_limited_listings_recruitics%26id%3D2153%26response_id%3D0d62dc21513fcd77c9d40ecd8bdc3fd2%26rx_job%3DJP-003077034%26rx_medium%3Dpost%26rx_paid%3D0%26rx_r%3Dnone%26rx_source%3DLinkedIn%26rx_ts%3D20220816T025001Z,,,,2022-08-20T10:28:39.673251
528965936,3223704934,quality-assurance-risk-management-specialist-at-commonwealth-of-pennsylvania-3223704934,2022-08-16T10:00:39.433054,2022-08-30T21:47:05.496747,2022-08-18,10:22:18,2022-08-18T10:22:18,"[""2022-08-17 08:45:18.016187"",""2022-08-19 10:28:37.789235"")",54689491,Quality Assurance / Risk Management Specialist,688958,Commonwealth of Pennsylvania,commonwealth-of-pennsylvania_2,100937671,"Blair County, PA",US,Blair County,PA,,,40.43013,-78.39196,0,A,"THE POSITION<br/><br/>The Department of Military and Veterans Affairs is seeking hard working and caring people who are dedicated to taking care of our residents. The Hollidaysburg Home offers Veterans and their spouses superior care.<br/><br/>If you are ambitious, confident, have experience in Quality Assurance, and are committed to serving our Veterans, this job is for you!!<br/><br/>Watch this video to see how you can make a difference caring for Pennsylvania's veterans working for the Department of Military and Veterans Affairs. Come join the DMVA team, apply today!<br/><br/><strong>DESCRIPTION OF WORK<br/><br/></strong>In this position you will consult and collaborate with interdisciplinary clinical and non-clinical support staff in the monitoring and evaluations of the quality assurance and risk management program activities at the Hollidaysburg Veterans Home.<br/><br/>Interested in learning more? Additional details regarding the position can be found in the position description.<br/><br/><strong>Work Schedule and Additional Information:<br/></strong><ul><li>Full-time employment, 37.5 hours per week.</li><li>Work hours are 8:30 am to 4:30 pm, Monday - Friday, with 30-minute lunch.</li><li>Salary: In some cases, the starting salary may be non-negotiable.</li><li>You will receive further communication regarding this position via email. Check your email, including spam/junk folders, for these notices.</li></ul> REQUIRED EXPERIENCE, TRAINING &amp; ELIGIBILITY<br/><br/><strong>In compliance with Centers for Medicare &amp; Medicaid Services (CMS) requirements, if you are selected for this position, you must show, at the time of hire, verification that you have received either a single-dose COVID-19 vaccination, or both doses of a two-dose COVID-19 vaccination, <u>unless</u> you are exempt from receiving a COVID-19 vaccination due to an ADA or religious accommodation. If you fail or refuse to show the required verification at the time of hire, and you have not received an exemption from the CMS vaccination requirements, your employment will be terminated.<br/><br/></strong><strong>QUALIFICATIONS<br/><br/></strong><strong>Minimum Experience and Training Requirements:<br/></strong><ul><li>Two years of professional experience as a member of a multiple disciplinary treatment team in a public or private health care facility and a bachelor's degree; or</li><li>Two years of clinical experience in an human services agency, including one year of administrative, evaluative, or consultative experience in a health care program; and a bachelor's degree with major course work in social work, nursing, health care administration, behavioral sciences or a related field; or</li><li>Any equivalent combination of experience and training.</li></ul><strong>Other Requirements:<br/></strong><ul><li>You must meet the PA residency requirement. For more information on ways to meet PA residency requirements, follow the link and click on Residency.</li><li>You must be able to perform essential job functions.</li></ul><strong>Legal Requirements:</strong><ul><li>This position falls under the provisions of the Older Adult Protective Services Act:</li><ul><li>Under the Act, a conditional offer of employment may require submission and approval of satisfactory criminal history reports, including but not limited to, PA State Police and FBI clearance.</li></ul><li>A conditional offer of employment may require satisfactory completion of a medical examination and drug screening.</li></ul><strong>How to Apply:<br/></strong><ul><li>Resumes, cover letters, and similar documents will not be reviewed, and the information contained therein will not be considered for the purposes of determining your eligibility for the position. Information to support your eligibility for the position must be provided on the application (i.e., relevant, detailed experience/education).</li><li>If you are claiming education in your answers to the supplemental application questions, you must attach a copy of your college transcripts for your claim to be accepted toward meeting the minimum requirements. Unofficial transcripts are acceptable.</li><li>Failure to comply with the above application requirements may eliminate you from consideration for this position. </li></ul><strong>Veterans:<br/></strong><ul><li>Pennsylvania law (51 Pa. C.S.</li><li>7103) provides employment preference for qualified veterans for appointment to many state and local government jobs. To learn more about employment preferences for veterans, go to www.employment.pa.gov/Additional%20Info/Pages/default.aspx and click the Veterans’ Preference tab or contact us at ra-cs-vetpreference@pa.gov.</li></ul><strong>Telecommunications Relay Service (TRS):<br/></strong><ul><li>711 (hearing and speech disabilities or other individuals).</li></ul>The Commonwealth is an equal employment opportunity employer and is committed to a diverse workforce. The Commonwealth values inclusion as we seek to recruit, develop, and retain the most qualified people to serve the citizens of Pennsylvania. The Commonwealth does not discriminate on the basis of race, color, religious creed, ancestry, union membership, age, gender, sexual orientation, gender identity or expression, national origin, AIDS or HIV status, disability, or any other categories protected by applicable federal or state law. All diverse candidates are encouraged to apply. <br/><br/>EXAMINATION INFORMATION<ul><li>Completing the application, including all supplemental questions, serves as your exam for this position. No additional exam is required at a test center (also referred to as a written exam).</li><li>Your score is based on the detailed information you provide on your application and in response to the supplemental questions. </li><li>Your score is valid for this specific posting only.</li><li>You must provide complete and accurate information or:</li><ul><li>your score may be lower than deserved.</li><li>you may be disqualified.</li><li>You may only apply/test once for this posting.</li><li>Your results will be provided via email.</li></ul></ul>",3,1,{22},{75},,,,,,24,,,,https://www.governmentjobs.com/careers/pabureau/jobs/3674327/quality-assurance-risk-management-specialist,3674327,2022-09-17T10:22:18,,2022-08-30T21:47:01.298721
516677054,3209978285,%E7%BA%AF%E5%8C%96%E5%B7%A5%E7%A8%8B%E5%B8%88-at-%E6%A3%AE%E7%91%9E%E6%96%AF%E7%94%9F%E7%89%A9%E7%A7%91%E6%8A%80-%E6%B7%B1%E5%9C%B3-%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-3209978285,2022-08-07T10:33:10.80895,2022-08-20T10:28:42.187689,2022-07-13,07:04:57,2022-07-13T07:04:57,"[""2022-07-03 10:33:08.066244"",""2022-07-24 10:33:08.066244"")",1618207,纯化工程师,,森瑞斯生物科技(深圳)有限公司,,106750182,"Shenzhen, Guangdong, China",CN,Shenzhen,,,,22.54368,114.05791,0,A,"该职位来源于猎聘 职责描述：1．负责公司现有产品的纯化工艺优化和新产品的纯化工艺开发； 2．进行纯化工艺技术研究工作，为生产工艺问题提供解决方案； 3. 进行纯化生产工艺技术数据收集和分析处理； 4. 准时、保质保量地完成实验并递交工作报告； 6. 对相关设备进行日常的维护和监测； 任职要求： 1. 本科以上学历，三年及以上工作经验，有知名生物医药企业纯化工工艺经验者优先； 2. 化学工程与工艺等相关专业 ； 3熟练掌握离心、萃取、蒸馏、结晶、层析、干燥等分离纯化技术，有小分子发酵产物分离纯化经验者优先； 4. 熟悉各种蛋白质纯化工艺流程,熟悉各种层析技术(亲和、疏水、离子交换等)及填料; 5. 熟悉多种层析系统,具有纯化放大或项目申报相关工作经验尤佳; 6. 流畅的英文读写能力,能熟练查阅专业英文文献,撰写中英文专业资料; 7. 具有高度责任心,工作细致,认真负责,较强的团队合作意识,较好的问题分析与解决能力；",3,1,"{13,8}",{15},,,,,,,bachelor degree,,,https://m.liepin.com/job/1948292301.shtml?s=r&mscid=ly_h5_01,48292301_2,2022-09-06T07:04:57,,2022-08-20T10:28:38.728291
523240300,3218447091,%E5%AE%89%E8%A3%85%E9%80%A0%E4%BB%B7%E5%91%98-at-%E5%B1%B1%E8%A5%BF%E9%87%91%E6%B3%B0%E6%88%90%E5%B7%A5%E7%A8%8B%E9%80%A0%E4%BB%B7%E5%92%A8%E8%AF%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-3218447091,2022-08-12T09:16:28.881492,2022-08-24T23:24:38.4473,2022-07-18,06:08:14,2022-07-18T06:08:14,"[""2022-07-08 09:16:25.535301"",""2022-07-26 08:22:54.757456"")",1597974,安装造价员,,山西金泰成工程造价咨询有限公司,,90009562,Guangzhou-Foshan Metropolitan Area,CN,Guangzhou-Foshan Metropolitan Area,,,,23.09509,113.14473,0,A,职位来源于智联招聘。<br/><br/>岗位职责：<br/><br/>1、能够独立完成工程项目的预算、结算、竣工结算、工程招标标底、投标报价的编制和审核等工作。<br/><br/>2、能够独立出具工程项目的审核报告且保证其准确性、严谨性。<br/><br/>3、能够熟练掌握国家的法律法规及定额计价规定等相关专业知识。<br/><br/>4、 完成好领导交办的各项工作。<br/><br/>任职要求：<br/><br/>1、学历：大专及以上。<br/><br/>2、熟练掌握熟练掌握AutoCAD、广联达等专业软件。<br/><br/>3、工作经验：从事土建工程造价工作，具有7年以上工作经验<br/><br/>4、具有良好的沟通能力，吃苦耐劳，有一定的抗压能力，能适应短期出差等工作 。<br/><br/>5、对工作有敬业精神、勇于担当，善于学习和思考且有预见性。<br/><br/>6、需具有造价师证，高级造价师职称者优先。（一年内须转入本单位）<br/><br/>7、27岁-39岁优先。<br/><br/>8、在中介从事审核工作，有丰富审核经验且有钻研精神、协调能力者优先。<br/><br/>福利待遇：<br/><br/>1、薪酬：底薪+项目奖金+工龄工资+学位证书费+年终奖金+效益奖金<br/><br/>2、提供免费工作餐＋通讯补贴+全部差旅费 +节假日福利<br/><br/>3、带薪休假：法定节假日休息<br/><br/>4、五险<br/><br/>5、6千--1.2万+<br/><br/>以担保或任何理由索要财物，扣押证照，均涉嫌违法。,6,1,{13},{44},,,,,,,high school,,,https://m.zhaopin.com/in-landing?jobid=CC426381130J40292317613,CC426381130J40292317613,2022-09-11T06:08:14,,2022-08-24T23:24:31.182765
523299671,3218468872,%E6%88%BF%E5%B1%8B%E7%A7%9F%E8%B5%81-at-%E6%98%86%E6%98%8E%E7%B4%AB%E9%92%BB%E9%85%92%E5%BA%97%E7%AE%A1%E7%90%86%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8-3218468872,2022-08-12T09:57:10.506924,2022-08-25T01:41:51.107116,2022-07-18,06:19:12,2022-07-18T06:19:12,"[""2022-07-08 09:57:07.319692"",""2022-07-26 08:52:57.360142"")",2338964,房屋租赁,,昆明紫钻酒店管理有限公司,,90009562,Guangzhou-Foshan Metropolitan Area,CN,Guangzhou-Foshan Metropolitan Area,,,,23.09509,113.14473,0,A,职位来源于智联招聘。<br/><br/>福利待遇体系<br/><br/>综合薪资8000-12000<br/><br/>年终分红：房租利润的20%<br/><br/>2、春节带薪年假，工资照发（新老员工都享受）<br/><br/>3、季度抽奖，大奖拿到你手软<br/><br/>4、公司注重每个人的发展，提供新人师徒制，一对一指导，手把手教学<br/><br/>5、月度团建、拓展旅游、集体活动、集体生日会等<br/><br/>6、办公地点就近分配，协信天地、拓东大厦、同德广场、方舟大厦<br/><br/>【岗位以及工作内容】<br/><br/>1、主要负责公寓租赁、房屋托管等工作。<br/><br/>2、负责将公司公寓发布在平台上，进行公寓介绍。<br/><br/>3、负责客户咨询、接待工作。详细了解客户的需求，为客户寻找合适匹配的房源后带客户看房，促成协议签订。<br/><br/>4、负责公寓入住人员信息审核及合同管理，办理收租和退房的手续。<br/><br/>5、为业主提供专业的房屋资产管理意见，与业主建立良好的业务协作关系。<br/><br/>【任职及工作资格】<br/><br/>1、有良好的沟通能力、服务意识、综合素质<br/><br/>2、品行端正，男女不限<br/><br/>3、为人正直、喜欢挑战<br/><br/>【工作时间和休息时间】<br/><br/>9:00——18:30 午休2小时；国家法定节假日正常放假；无加班（上下班公司打卡，无需坐班）<br/><br/>（紫钻公寓，注册创立于2016年，是昆明头部房屋托管公司之一，现公司规模300余人，其中市场人员200余人；后勤保障部门员工50余人；市场员工月度平均薪资8000-12000，定期团建。目前公司正处在高速发展时期，期待社会各界精英的加入！）<br/><br/>以担保或任何理由索要财物，扣押证照，均涉嫌违法。,21,1,"{78,25}",{44},,,,,,,high school,,,https://m.zhaopin.com/in-landing?jobid=CC496068080J40298984704,CC496068080J40298984704,2022-09-11T06:19:12,,2022-08-25T01:41:42.021581
534296873,3229484839,mig-welder-at-aerotek-3229484839,2022-08-20T10:28:42.372823,2022-08-20T10:28:42.372823,,,,"[""2022-08-20 02:28:38.80312"",""2022-08-20 05:28:38.80312"")",199618,Mig Welder,2889,Aerotek,aerotek,,"White Bear Lake, MN",,,,,,,,0,A,"<ul><li>Description:*</li><li>Will be welding on Hard Steel material performing mostly MIG,</li><li>Pulse style Hardwire .045 welding.</li><li>Will be mostly ultra-sonic welding.</li><li>Welding is on heavy Gage material from 3/8"" to 4"" thick material.</li><li>Need welders who can do their own setups, layouts of fixtures and fit ups</li><li>Will get certified and trained to welding all the components of the booms and other components for the concrete boom trucks. All welding is X-Rayed, certified and high detailed welding.*</li><li>Skills:*</li><li>MIG</li><li>Welding</li><li>Blue prints</li><li>Pulse</li><li>Fabrication</li><li>Experience Level:*</li><li>Entry Level and experienced roles available* If you are interested in working with one of the top recruiters in MN and want to work with a company that has been voted *best of staffing* for the past 4 years, contact me directly at [ccaneff@aerotek.com](mailto:ccaneff@aerotek.com) or 952-563-3038.<br/><br/></li></ul>About Aerotek:<br/><br/>We know that a company's success starts with its employees. We also know that an individual's success starts with the right career opportunity. As a Best of Staffing® Client and Talent leader, Aerotek's people-focused approach yields competitive advantage for our clients and rewarding careers for our contract employees. Since 1983, Aerotek has grown to become a leader in recruiting and staffing services. With more than 250 non-franchised offices, Aerotek's 8,000 internal employees serve more than 300,000 contract employees and 18,000 clients every year. Aerotek is an Allegis Group company, the global leader in talent solutions. Learn more at Aerotek.com. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",3,4,{82},{104},,,,,,,,,,,,,,2022-08-20T10:28:38.805323
534296874,3229487466,clinical-research-sub-investigator-at-actalent-3229487466,2022-08-20T10:28:42.411584,2022-08-20T10:28:42.411584,,,,"[""2022-08-20 02:28:39.985481"",""2022-08-20 05:28:39.985481"")",36307028,Clinical Research Sub-Investigator,71904349,Actalent,actalentservices,,"Coventry, RI",,,,,,,,0,A,"<ul><li>Clinical Research Sub-Investigator* *(**Nurse Practitioner or Physician Assistant)*</li><li>Remote/travel – variable, up to 100% travel dependent on project design.</li><li>Must be willing and able to travel with short notice as needed. The Sub-Investigator will be responsible for regional travel mixed with remote tele-medicine work to support clinical research.</li><li>Flexibility to travel across your your state/Northeast</li><li>Competitive compensation with strong benefit package: 401k plan with matching contribution, stock options, PTO + Holidays, medical/vision/dental/HSA with employer contribution, and more (full details available during interview process)</li><li>Opportunity to work in diverse therapeutic areas</li><li>Direct hire. Full-time / long-term opportunity with a fast-growing research organization with a culture of growth!</li><li>Must be eligible to work in the US</li><li>Summary of qualifications:*</li><li>Nurse Practitioner or Physician Assistant with 5+ years of clinical experience</li><li>Must be licensed in good standing in the state of Rhode Island</li><li>A minimum of 1 year of relevant work experience as Sub-Investigator (preferred) in a Clinical Research setting.</li><li>Must be eligible to work in the US</li><li>Job Description Summary:* Work closely with the Principal Investigator to oversee the execution of study protocols, delegating study related duties to site staff, ensuring site compliance with study protocols, study-specific laboratory procedures, standards GCP, SOPs, QA/QC procedures, OSHA guidelines, and other state and local regulations as applicable. Be available to see subjects virtually or in-person as dictated by project design, answer their questions, and resolve medical issues during the study visit. Provide medical management of adverse events as appropriate. Perform other duties as trained for and assigned. (Full job description available)<br/><br/></li></ul>About Actalent:<br/><br/>Actalent connects passion with purpose. Our scalable talent solutions and services capabilities drive value and results and provide the expertise to help our customers achieve more. Every day, our experts around the globe are making an impact. We’re supporting critical initiatives in engineering and sciences that advance how companies serve the world. Actalent promotes consultant care and engagement through experiences that enable continuous development. Our people are the difference. Actalent is an operating company of Allegis Group, the global leader in talent solutions. The company is an equal opportunity employer and will consider all applications without regards to race, sex, age, color, religion, national origin, veteran status, disability, sexual orientation, gender identity, genetic information or any characteristic protected by law.",13,1,"{13,83,71}",{96},,,,,,,,,,,,,,2022-08-20T10:28:39.987688
528966159,3223682608,gerant-d%E2%80%99une-agence-de-service-a-la-personne-h-f-at-aide-rh-cabinet-de-recrutement-3223682608,2022-08-16T10:00:53.340768,2022-08-24T08:45:36.9847,2022-07-22,07:31:39,2022-07-22T07:31:39,"[""2022-07-12 10:00:50.99741"",""2022-07-30 10:28:39.771391"")",249988154,GERANT D’UNE AGENCE DE SERVICE A LA PERSONNE - H/F,34678310,Aide RH - Cabinet de recrutement,aide-rh,100114813,"Embrun, Provence-Alpes-Côte d'Azur, France",FR,Embrun,,,,44.5658,6.4961,0,A,"Vous avez besoin de nouvelles perspectives ?<br/><br/>Vous êtes en quête de nouvelles responsabilités ?<br/><br/>Pourquoi ne pas envisager l’indépendance ?<br/><br/>Nous recherchons des franchisés pour notre client spécialiste du service à la personne haut de gamme.<br/><br/>Si pour vous la qualité du service est primordiale et si vous avez besoin de devenir acteur de votre carrière, alors cette offre est faite pour vous.<br/><br/>En véritable Chef d'Entreprise, vous aurez pour principale mission, la gestion de votre agence commerciale, conformément aux orientations stratégiques de la franchise à laquelle vous serez rattaché.<br/><br/><strong><u>A Ce Titre, Vous Aurez En Charge De<br/></u></strong><ul><li> Recruter, animer et suivre le Personnel d'exploitation (gestion des plannings, répartition des tâches, formation du Personnel).</li><li> Piloter la relation Client en assurant le développement, le suivi et la fidélisation de vos clients et veiller au respect des procédures en matière d'hygiène et de sécurité et à la qualité du service rendu.<br/></li></ul>PROFIL RECHERCHE<br/><br/>Investissement global à prévoir : 20 000€<br/><br/>Cette franchise est faite pour vous si vous disposez de ces compétences :<br/><br/>Commerciales : vous animez votre réseau de prescripteurs locaux (assistantes sociales, hôpitaux, médecins indépendants…), construisez et organisez la prise en charge des personnes en perte d’autonomie ou des personnes en activité apportées par l’enseigne, vous mettez-en place les prestations d’aide à domicile.<br/><br/>De gestion du personnel : vous organisez le recrutement de vos équipes d’intervenants en tenant compte des attentes de vos clients. Vous disposez des outils et méthodes de travail développés pour recruter et manager votre équipe. Vous organisez les plans de formation de vos équipes en collaboration avec notre centre de formation et nos partenaires financeurs.<br/><br/>De gestion d’entreprise : vous gérez les plannings d’interventions, le suivi qualité, coordonnez la facturation et la paie de votre agence à l’aide des outils et méthodes apprises lors de la formation. Vous disposez d’un support technique en matière de droit du travail, de juridique et de droit social directement fournis par l’enseigne ou par un pool de conseillers externes.<br/><br/>N’attendez plus, postulez!",13,1,{80},{104},,,,,,,,,,https://aiderh.softy.pro/offre/44704?idt=119,44704_17,2022-09-15T07:31:39,,
